1506798744.717000, /muse/elements/raw_fft1, 24.599768, 30.019825, 33.302937, 36.645676, 36.33182, 34.677288, 28.304384, 20.419947, 22.591703, 21.730873, 22.441538, 27.898829, 26.830181, 26.715487, 24.217691, 17.7617, 20.82487, 25.136524, 22.847939, 17.225481, 15.60491, 18.473404, 19.361326, 21.874147, 21.835146, 20.497108, 26.101948, 25.174013, 23.961637, 22.972063, 18.685427, 24.175322, 24.303196, 16.86054, 16.254396, 21.594463, 22.077139, 21.251102, 25.245317, 23.21778, 22.426027, 18.674898, 18.764677, 22.920961, 26.046799, 26.650372, 24.732952, 22.17563, 24.31555, 21.977945, 17.484749, 21.389893, 25.913877, 25.332478, 28.22706, 25.073204, 20.35141, 23.000633, 23.782497, 18.09235, 15.156091, 21.105402, 19.386318, 16.946037, 17.52443, 15.567773, 16.418383, 18.37974, 15.415562, 14.763072, 14.687058, 13.607027, 14.846818, 13.794765, 16.160357, 15.804253, 15.145673, 13.387499, 12.603986, 14.258123, 13.326898, 22.219595, 26.282799, 26.062464, 24.446941, 23.701027, 23.431875, 15.26139, 11.526212, 18.574528, 18.75607, 17.88086, 19.311287, 19.206968, 23.516666, 20.08595, 17.587326, 22.063494, 23.221766, 26.336245, 19.60827, 9.644844, 17.26744, 21.619474, 21.19084, 22.145359, 19.087801, 20.846241, 20.296038, 19.720448, 26.138395, 24.070889, 23.660494, 18.73279, 12.79131, 15.024139, 18.677074, 18.366686, 21.511608, 23.383606, 19.368752, 17.221851, 14.868619, 15.559796, 20.314827, 15.961206, 17.761421, 17.486427, 13.228109
1506798744.717000, /muse/elements/raw_fft2, 25.354677, 30.882635, 27.614855, 32.64305, 33.637398, 33.20184, 30.852173, 24.594654, 26.288656, 28.669878, 28.609152, 29.201025, 26.070896, 21.661552, 20.758278, 21.997683, 21.551344, 22.76394, 19.431448, 15.210605, 16.654114, 15.309888, 22.19455, 17.497112, 18.941563, 19.348034, 22.851227, 21.47471, 22.223553, 21.886969, 20.573784, 24.502337, 21.876883, 14.411034, 15.133769, 16.474848, 21.07287, 21.065413, 24.337133, 22.201061, 20.959774, 19.006962, 20.863153, 21.873028, 23.654264, 24.075754, 20.7014, 18.929033, 21.445742, 18.445509, 15.053955, 19.036802, 24.427053, 23.38879, 26.305725, 23.71393, 20.817099, 21.69917, 21.254698, 15.376741, 15.976402, 20.073187, 17.801815, 12.938816, 10.728529, 13.074683, 14.9796915, 17.962347, 12.1125965, 9.651216, 11.121105, 12.700796, 12.90832, 7.8379207, 7.652951, 12.752626, 13.480489, 9.893493, 9.831242, 12.170641, 12.51411, 20.668783, 24.93433, 24.31494, 22.121586, 21.19139, 19.646017, 9.558619, 10.795611, 17.506317, 17.530998, 17.694992, 19.456541, 19.367048, 22.462172, 19.864998, 19.72709, 22.557085, 22.862925, 25.235205, 19.02775, 13.8845005, 15.473626, 18.8818, 21.036898, 22.574612, 18.596212, 20.045708, 21.373402, 19.805803, 25.703266, 22.873465, 21.464542, 19.524559, 13.105582, 9.280476, 14.841547, 13.963168, 19.71044, 21.586407, 15.928651, 12.30702, 12.344884, 16.024248, 19.989845, 15.276755, 17.224524, 16.643606, 9.602832
1506798744.717000, /muse/elements/raw_fft3, -0.24910809, 5.321956, 2.6728468, 3.620428, 2.8812382, -1.1341541, 2.0875895, -3.2244358, -2.8757799, -2.249798, -1.2527436, 1.5433217, 0.9051666, -11.646087, -8.252152, -5.6705894, -6.479805, -6.273753, -7.620648, -3.8411047, -2.7310212, -5.429819, -9.624649, -5.701562, -7.9947705, -4.3557386, -5.0434213, -5.3380494, -7.2239847, -10.140312, -10.756864, -10.807476, -9.679287, -10.377708, -11.0373535, -16.285967, -11.187092, -6.2931004, -8.94752, -8.269773, -7.9405313, -12.142818, -13.157264, -15.359061, -16.937908, -17.332813, -9.876227, -7.909511, -5.879482, -9.214876, -17.065416, -15.333524, -9.782815, -14.22757, -17.927563, -15.045961, -10.101489, -14.01702, -12.254205, -18.70272, -11.608671, -9.8769, -15.742785, -11.108056, -11.069115, -12.951974, -17.701933, -19.944975, -12.167673, 7.7547607, 9.480307, -4.786045, -22.389956, -15.521285, -18.858692, -22.588451, -13.588469, -12.434028, -16.635376, -9.41814, -12.514659, -18.514889, -12.830472, -13.186864, -12.590017, -10.329403, -16.38599, -17.763746, -11.274846, -13.868382, -16.493279, -18.689432, -14.341716, -15.735848, -13.811912, -15.088445, -15.712814, -14.759718, -18.367474, -20.761593, -16.734497, -11.713386, -16.19798, -18.984442, -18.129929, -19.735764, -22.070442, -17.059353, -16.93803, -16.975744, -18.947773, -18.944935, -15.3409605, -19.791882, -17.461618, -17.870241, -5.1236544, -2.18011, -13.530265, -23.112915, -28.518967, -25.83873, -22.07823, -18.589697, -22.37092, -24.37105, -25.625761, -24.50082, -32.619392
1506798744.717000, /muse/elements/low_freqs_absolute, 1.6738747, 0.0, 0.0, 1.1947967
1506798744.718000, /muse/elements/alpha_absolute, 0.95407957, 0.0, 0.0, 0.8407935
1506798744.718000, /muse/elements/beta_absolute, 0.84411436, 0.0, 0.0, 0.5974036
1506798744.718000, /muse/elements/delta_absolute, 1.567495, 0.0, 0.0, 1.0511461
1506798744.718000, /muse/elements/gamma_absolute, 0.62231815, 0.0, 0.0, 0.37713045
1506798744.718000, /muse/elements/theta_absolute, 1.0108446, 0.0, 0.0, 0.64447254
1506798744.718000, /muse/elements/alpha_session_score, 0.4871795, 1.0, 1.0, 0.75
1506798744.718000, /muse/elements/beta_session_score, 0.3529412, 1.0, 1.0, 0.6785714
1506798744.718000, /muse/elements/delta_session_score, 0.84732825, 1.0, 1.0, 0.37878788
1506798744.718000, /muse/elements/gamma_session_score, 0.475, 1.0, 1.0, 0.7012987
1506798744.718000, /muse/elements/theta_session_score, 0.6527778, 1.0, 1.0, 0.25
1506798744.718000, /muse/eeg, 832.36005, 840.58496, 544.48846, 896.5143
1506798744.718000, /muse/eeg, 835.65, 840.58496, 544.48846, 891.57935
1506798744.718000, /muse/eeg, 837.295, 840.58496, 544.48846, 904.7392
1506798744.718000, /muse/eeg, 819.2002, 630.02747, 333.931, 908.0292
1506798744.718000, /muse/eeg, 817.55524, 1261.7, 965.60345, 884.99945
1506798744.718000, /muse/eeg, 837.295, 1051.1425, 755.04596, 898.15924
1506798744.718000, /muse/eeg, 824.13513, 1051.1425, 755.04596, 904.7392
1506798744.718000, /muse/eeg, 827.4251, 1472.2574, 1176.1609, 893.2243
1506798744.718000, /muse/eeg, 822.4902, 630.02747, 544.48846, 861.9697
1506798744.718000, /muse/eeg, 807.68536, 1051.1425, 965.60345, 880.06445
